full_address,beds,baths,year_built,sq_ft_interior,sq_ft_lot,price,lat,long,zip_code,Actual,Predicted
2900 SIDNEY DR MESQUITE TX 75150,3,2.0,1972,1392,7196,241089,32.8172466,-96.6441253,75150,241089,257423
2231 SCHIRRA WAY  MESQUITE TX 75150,4,2.0,1971,1864,7736,309514,32.8075458,-96.6357769,75150,309514,298602
3124 PECAN CROSSING  MESQUITE TX 75181,3,2.0,2002,1918,7018,280633,32.7310813,-96.5387917,75181,280633,319647
2845 NIGHTHAWK DR MESQUITE TX 75181,4,3.0,2009,2500,9544,355938,32.7148629,-96.5314146,75181,355938,386197
3136 WICHITA DR MESQUITE TX 75149,3,2.0,1983,1711,8163,271434,32.78173,-96.6451676,75149,271434,278107
2810 QUAIL HOLLOW DR MESQUITE TX 75150,3,2.0,1984,1383,8276,268926,32.8031216,-96.6083123,75150,268926,264237
513 STARLING DR MESQUITE TX 75149,3,2.0,1970,1389,7802,259638,32.7741088,-96.6433314,75149,259638,247482
1311 OAK RUN DR DUNCANVILLE TX 75137,2,1.5,1984,1322,7092,259638,32.6360604,-96.887421,75137,259638,247482
4319 LIVE OAK DR MESQUITE TX 75150,4,2.5,1963,1846,7200,258965,32.8242921,-96.6386131,75150,258965,300182
1004 ARMSTRONG RD SEAGOVILLE TX 75159,3,2.0,2010,1012,11252,210824,32.6419389,-96.560553,75159,210824,222679
2713 JUDY DR MESQUITE TX 75149,3,1.0,1962,1586,10001,226521,32.7870223,-96.6375853,75149,226521,243100
3113 COLONY DR MESQUITE TX 75150,4,2.0,1983,1679,8577,330199,32.8058681,-96.6476309,75150,330199,292277
3401 SHERYL DR MESQUITE TX 75150,3,1.5,1953,1384,6482,215481,32.8141337,-96.6498021,75150,215481,237057
2316 LOVELL DR MESQUITE TX 75150,4,3.0,1970,2190,7736,299773,32.8084172,-96.6367756,75150,299773,338143
4235 HARVEY DR MESQUITE TX 75150,4,2.0,1956,1289,7200,263734,32.8230624,-96.6568171,75150,263734,246319
1608 OXFORD PL MESQUITE TX 75149,4,2.0,1984,2053,8398,319999,32.7877518,-96.6450006,75149,319999,337639
1918 CROCKETT ST GARLAND TX 75042,3,2.0,1973,1900,7802,319999,32.9265591,-96.6568408,75042,319999,337639
2631 BEVERLY HILLS LN MESQUITE TX 75150,4,2.0,1978,2068,7671,351834,32.8367694,-96.6399507,75150,351834,318198
3106 DEERHOLLOW DR MESQUITE TX 75181,4,2.5,1998,2878,8050,379570,32.7394397,-96.5561927,75181,379570,400207
814 DAKOTA LN SEAGOVILLE TX 75159,3,2.5,2005,1796,12323,280409,32.6626772,-96.5472119,75159,280409,285496
1214 RANCHO DR MESQUITE TX 75149,3,2.0,1970,1294,7754,234274,32.7514106,-96.5892392,75149,234274,240961
318 E GRUBB DR MESQUITE TX 75149,3,2.0,1971,1573,7671,316301,32.7748739,-96.5936666,75149,316301,260767
801 HUDDLESTON CT SEAGOVILLE TX 75159,3,2.0,2004,1450,9026,243277,32.660176,-96.5462948,75159,243277,249673
341 E GRUBB DR MESQUITE TX 75149,3,2.0,1979,1842,6761,317306,32.7753127,-96.5925559,75149,317306,284478
3628 DEMARET DR MESQUITE TX 75150,2,1.0,1958,1272,7501,219499,32.8317026,-96.65356,75150,219499,217331
3002 BRIARBROOK DR SEAGOVILLE TX 75159,4,2.5,2007,2939,14301,357813,32.6926866,-96.5506303,75159,357813,381652
2811 DENNIS CIR SEAGOVILLE TX 75159,4,2.5,2022,1858,16030,343582,32.6699376,-96.5806534,75159,343582,315249
2612 SPRING RAIN DR MESQUITE TX 75181,3,2.0,1996,1444,5672,259095,32.73982,-96.5413343,75181,259095,271072
4939 REGAL BLUFF  MESQUITE TX 75150,2,2.5,1985,1092,1616,199032,32.832906,-96.6020648,75150,199032,244497
4847 PALOS VERDES DR MESQUITE TX 75150,2,2.0,1984,1282,3038,242033,32.8311855,-96.6118267,75150,242033,250139
2633 GREENLAND DR MESQUITE TX 75150,5,2.0,1961,1831,7379,316252,32.8264736,-96.6363588,75150,316252,296468
122 IDLEWYLD DR MESQUITE TX 75149,3,2.0,2000,1893,4957,353597,32.7671306,-96.6407004,75149,353597,301751
1417 COOL SPRINGS DR MESQUITE TX 75181,3,2.0,1992,1266,5602,250762,32.7468403,-96.547337,75181,250762,250867
1734 HILLCREST ST MESQUITE TX 75149,3,2.0,1955,1234,7501,209648,32.7852638,-96.6073943,75149,209648,227008
