property_id,full_address,beds,baths,year_built,sq_ft_interior,sq_ft_lot,price,price_label,lat,long,img_url,zip_code
31901244,2326 LUAU ST MESQUITE TX 75150,3,1.5,1966,1356,8303,241183,Redfin Estimate,32.7987738,-96.649097,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=2326+Luau+St%2C+Mesquite%2C+TX+75150&size=665x441&source=outdoor&client=gme-redfin&signature=MKlMpx0IqlUQUT_vDaCP9U9B03U='],75150
31869232,1737 HIGHLAND ST MESQUITE TX 75149,3,1.0,1955,1454,7501,218014,Redfin Estimate,32.7874273,-96.6096475,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1737+Highland+St%2C+Mesquite%2C+TX+75149&size=665x441&source=outdoor&client=gme-redfin&signature=Bpu_OzXfy5TgjGU9iaWuDDGhiuo='],75149
31903524,2900 SIDNEY DR MESQUITE TX 75150,3,2.0,1972,1392,7196,241089,Redfin Estimate,32.8172466,-96.6441253,['https://ssl.cdn-redfin.com/photo/90/mbphoto/061/genMid.13479061_0.jpg'],75150
31869683,1507 RICHARD ST MESQUITE TX 75149,3,1.0,1957,1313,7501,205940,Redfin Estimate,32.7874128,-96.6165747,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1507+Richard+St%2C+Mesquite%2C+TX+75149&size=665x441&source=outdoor&client=gme-redfin&signature=O2bxnlVsXQYCToo_gLm7rbqvAvQ='],75149
30757826,806 BRANDON DR SEAGOVILLE TX 75159,5,2.0,2004,1504,8407,275611,Redfin Estimate,32.6615894,-96.5470035,['https://ssl.cdn-redfin.com/photo/90/mbphoto/061/genMid.14759061_0.jpg'],75159
32125205,302 S EBRITE ST MESQUITE TX 75149,3,3.0,1948,1408,13338,256886,Redfin Estimate,32.76515,-96.6021579,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=302+S+Ebrite+St%2C+Mesquite%2C+TX+75149&size=665x441&source=outdoor&client=gme-redfin&signature=OHlzzuRZI6LDzOtftmtVVz3LPcI='],75149
31851712,2411 MESQUITE VALLEY RD MESQUITE TX 75149,5,3.5,1984,4125,6721,464509,Redfin Estimate,32.7471993,-96.5670063,['https://ssl.cdn-redfin.com/photo/90/mbphoto/324/genMid.14702324_2.jpg'],75149
30758435,514 PAYTON CT SEAGOVILLE TX 75159,4,2.0,2008,1420,8708,229255,Redfin Estimate,32.651993,-96.5384374,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=514+Payton+Ct%2C+Seagoville%2C+TX+75159&size=665x441&source=outdoor&client=gme-redfin&signature=re-VousA7eCDRhYaccdI26yC7oY='],75159
31841559,2231 SCHIRRA WAY  MESQUITE TX 75150,4,2.0,1971,1864,7736,309514,Redfin Estimate,32.8075458,-96.6357769,['https://ssl.cdn-redfin.com/photo/90/mbphoto/671/genMid.13794671_3.jpg'],75150
31814590,4733 SALEM DR MESQUITE TX 75150,3,1.0,1958,1143,7240,196223,Redfin Estimate,32.8311127,-96.6399143,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=4733+Salem+Dr%2C+Mesquite%2C+TX+75150&size=665x441&source=outdoor&client=gme-redfin&signature=PdCKg2Hl8F89sA6ML2vV68TsvpE='],75150
32131526,503 W STARK RD SEAGOVILLE TX 75159,3,1.5,1952,1988,60113,327887,Redfin Estimate,32.6639412,-96.5894129,['https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=503+W+Stark+Rd%2C+Seagoville%2C+TX+75159&size=665x441&source=outdoor&client=gme-redfin&signature=QA6MQF0bpGvZgyzuO8SkK8EGK3U='],75159
32268270,3124 PECAN CROSSING  MESQUITE TX 75181,3,2.0,2002,1918,7018,280633,Redfin Estimate,32.7310813,-96.5387917,['https://ssl.cdn-redfin.com/photo/90/mbphoto/918/genMid.13479918_0.jpg'],75181
32125477,837 W GROSS ST MESQUITE TX 75149,1,1.0,1954,504,178160,360982,Redfin Estimate,32.7643058,-96.6096371,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=837+W+Gross+St%2C+Mesquite%2C+TX+75149&size=665x441&source=outdoor&client=gme-redfin&signature=HO6ZEfnXwvryP6qDpU7duqsKTFU='],75149
30757824,810 BRANDON DR SEAGOVILLE TX 75159,3,2.0,2004,1579,7301,284967,Redfin Estimate,32.6618243,-96.5467117,['https://ssl.cdn-redfin.com/photo/90/mbphoto/028/genMid.20231028_5.jpg'],75159
31849937,1600 LIBERTY LN MESQUITE TX 75149,2,2.0,1987,1495,3999,268411,Redfin Estimate,32.7876918,-96.5996337,['https://ssl.cdn-redfin.com/photo/90/mbphoto/692/genMid.20302692_1.jpg'],75149
182764913,4341 SOARING STAR LN MESQUITE TX 75181,3,2.0,2021,2056,6251,388566,Redfin Estimate,32.722716,-96.5459196,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=4341+Soaring+Star+Ln%2C+Mesquite%2C+TX+75181&size=665x441&source=outdoor&client=gme-redfin&signature=JNZICfmSzR9Q7OQCMrexz0-zBHA='],75181
31857613,736 VIA SONOMA  MESQUITE TX 75150,3,2.0,1978,1607,8041,304669,Redfin Estimate,32.8199565,-96.6069353,['https://ssl.cdn-redfin.com/photo/90/mbphoto/321/genMid.14321321_2.jpg'],75150
177846472,2909 BLUETS DR MESQUITE TX 75150,3,2.5,2022,1728,1982,311178,Redfin Estimate,32.80374,-96.632486,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=2909+Bluets+Dr%2C+Mesquite%2C+TX+75150&size=665x441&source=outdoor&client=gme-redfin&signature=G_ptUGdO0KhinrO315hRyuH8kFw='],75150
31869543,1509 RIDGEVIEW ST MESQUITE TX 75149,4,2.0,1956,1296,6900,269558,Redfin Estimate,32.7869245,-96.6157813,['https://ssl.cdn-redfin.com/photo/90/mbphoto/663/genMid.14382663_0.jpg'],75149
30779306,2845 NIGHTHAWK DR MESQUITE TX 75181,4,3.0,2009,2500,9544,355938,Redfin Estimate,32.7148629,-96.5314146,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=2845+Nighthawk+Dr%2C+Mesquite%2C+TX+75181&size=665x441&source=outdoor&client=gme-redfin&signature=5lnJJW3VjJcjPcfwhzAogr4Suak='],75181
32041722,111 COLONIAL CIR SEAGOVILLE TX 75159,3,1.0,1984,1108,11252,192831,Redfin Estimate,32.6505944,-96.5496715,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=111+Colonial+Cir%2C+Seagoville%2C+TX+75159&size=665x441&source=outdoor&client=gme-redfin&signature=wLjXlYeDHaqn647-ad5gi84dMoI='],75159
177846470,2917 BLUETS DR MESQUITE TX 75150,3,2.5,2022,1767,2879,325125,Redfin Estimate,32.803727,-96.632327,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=2917+Bluets+Dr%2C+Mesquite%2C+TX+75150&size=665x441&source=outdoor&client=gme-redfin&signature=xqPqCKpZes5lDiY-GcRewlDGEI8='],75150
31881503,3136 WICHITA DR MESQUITE TX 75149,3,2.0,1983,1711,8163,271434,Redfin Estimate,32.78173,-96.6451676,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=3136+Wichita+Dr%2C+Mesquite%2C+TX+75149&size=665x441&source=outdoor&client=gme-redfin&signature=j-dV3p3p-cLyrJyCUzGFzSMSRbY='],75149
31883207,2810 QUAIL HOLLOW DR MESQUITE TX 75150,3,2.0,1984,1383,8276,268926,Redfin Estimate,32.8031216,-96.6083123,['https://ssl.cdn-redfin.com/photo/90/mbphoto/676/genMid.11814676_2.jpg'],75150
31891817,513 STARLING DR MESQUITE TX 75149,3,2.0,1970,1389,7802,259638,Redfin Estimate,32.7741088,-96.6433314,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=513+Starling+Dr%2C+Mesquite%2C+TX+75149&size=665x441&source=outdoor&client=gme-redfin&signature=yGKI7u42tC_Yjwpxk5SPQvCYs4A='],75149
31872637,600 VIA LA PALOMA  MESQUITE TX 75150,3,2.5,1981,1712,7810,268305,Redfin Estimate,32.8325029,-96.6036391,['https://ssl.cdn-redfin.com/photo/90/mbphoto/377/genMid.13581377_1.jpg'],75150
