property_id,full_address,beds,baths,year_built,sq_ft_interior,sq_ft_lot,price,price_label,lat,long,img_url,zip_code
31110507,6214 LA COSA DR DALLAS TX 75248,4,2.5,1979,2661,8041,572377,Redfin Estimate,32.9593855,-96.7993164,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=6214+La+Cosa+Dr%2C+Dallas%2C+TX+75248&size=665x441&source=outdoor&client=gme-redfin&signature=sd2aJD748fbB7sBo-z6zpoAwJzk='],75248
31110513,15419 CYPRESS HILLS DR DALLAS TX 75248,6,5.0,1981,4155,9396,714983,Redfin Estimate,32.9594204,-96.7970479,['https://ssl.cdn-redfin.com/photo/90/mbphoto/052/genMid.11748052_1.jpg'],75248
31110521,6223 BLACK BERRY LN DALLAS TX 75248,4,2.5,1979,2362,8041,607846,Redfin Estimate,32.959071,-96.7986382,['https://ssl.cdn-redfin.com/photo/90/mbphoto/572/genMid.11817572_3.jpg'],75248
31110566,15810 RANCHITA DR DALLAS TX 75248,5,4.0,1979,3378,11256,879024,Redfin Estimate,32.9631681,-96.8022355,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=15810+Ranchita+Dr%2C+Dallas%2C+TX+75248&size=665x441&source=outdoor&client=gme-redfin&signature=Vu6loXCox_tITV2QcZ2UED9YvO0='],75248
31110551,6219 SANDYDALE DR DALLAS TX 75248,5,3.5,1979,3273,14201,802826,Redfin Estimate,32.9631496,-96.7989521,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=32.9631496%2C-96.7989521&size=665x441&source=outdoor&client=gme-redfin&signature=g6FFR_bhFDFB5CYAbyOzhEC7BaY='],75248
31110579,6101 MISTY TRL DALLAS TX 75248,4,3.5,1979,3514,14039,798009,Redfin Estimate,32.9639097,-96.8014841,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=6101+Misty+Trl%2C+Dallas%2C+TX+75248&size=665x441&source=outdoor&client=gme-redfin&signature=jBeNyiG97uSA9Tp9UzlwwC3CaPg='],75248
31109644,12108 CROSS CREEK DR DALLAS TX 75243,3,3.0,1981,2700,9087,514073,Redfin Estimate,32.9128444,-96.7248698,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=12108+Cross+Creek+Dr%2C+Dallas%2C+TX+75243&size=665x441&source=outdoor&client=gme-redfin&signature=sEn-Aziez6kVIS00zsfFAyyEUZE='],75243
31109625,12206 PLEASANT VALLEY DR DALLAS TX 75243,4,3.5,1979,3142,10014,1277588,Redfin Estimate,32.9129779,-96.7239408,['https://ssl.cdn-redfin.com/photo/90/mbphoto/650/genMid.20187650_0.jpg'],75243
31106994,6107 BLUFF POINT DR DALLAS TX 75248,4,3.0,1983,2648,9174,749139,Redfin Estimate,32.9614633,-96.8009609,['https://ssl.cdn-redfin.com/photo/90/mbphoto/287/genMid.20448287_1.jpg'],75248
31107088,6208 BLUFF POINT DR DALLAS TX 75248,4,3.0,1981,2793,8851,651214,Redfin Estimate,32.9610632,-96.7990567,['https://ssl.cdn-redfin.com/photo/90/mbphoto/837/genMid.11897837_3.jpg'],75248
31107092,6216 BLUFF POINT DR DALLAS TX 75248,3,3.0,1981,2145,8947,585170,Redfin Estimate,32.9610698,-96.7985336,['https://ssl.cdn-redfin.com/photo/90/mbphoto/191/genMid.11215191_2.jpg'],75248
31107105,15532 GOLDEN CREEK RD DALLAS TX 75248,4,3.0,1983,2796,7815,766884,Redfin Estimate,32.9602791,-96.8001647,['https://ssl.cdn-redfin.com/photo/90/mbphoto/918/genMid.13932918_0.jpg'],75248
31107805,15531 BAY POINT DR DALLAS TX 75248,4,2.0,1983,1999,10036,600044,Redfin Estimate,32.9611888,-96.7971525,['https://ssl.cdn-redfin.com/photo/90/mbphoto/873/genMid.14305873_0.jpg'],75248
31109171,9801 SMOKEFEATHER LN DALLAS TX 75243,4,2.5,1976,2133,3001,313651,Redfin Estimate,32.9209708,-96.7384022,['https://ssl.cdn-redfin.com/photo/90/mbphoto/585/genMid.14667585_0.jpg'],75243
31109129,9702 AMBERTON PKWY DALLAS TX 75243,2,2.0,1977,1684,4452,235109,Redfin Estimate,32.920172,-96.738753,['https://ssl.cdn-redfin.com/photo/90/mbphoto/348/genMid.20180348_2.jpg'],75243
31109111,9838 AMBERTON PKWY DALLAS TX 75243,3,2.0,1978,1760,3297,295137,Redfin Estimate,32.9228771,-96.738448,['https://ssl.cdn-redfin.com/photo/90/mbphoto/971/genMid.13141971_0.jpg'],75243
31112328,10211 BRIDGEGATE LN DALLAS TX 75243,3,3.0,1979,2679,12515,580180,Redfin Estimate,32.9105605,-96.7135698,['https://ssl.cdn-redfin.com/photo/90/mbphoto/533/genMid.11946533_1.jpg'],75243
31112425,10112 SHADOW WAY  DALLAS TX 75243,3,2.0,1984,2549,9879,422586,Redfin Estimate,32.9153478,-96.7108166,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=10112+Shadow+Way%2C+Dallas%2C+TX+75243&size=665x441&source=outdoor&client=gme-redfin&signature=S6FjPEfm6eSLAVNE1oijnyi4zZE='],75243
31112417,10019 WOODLAKE DR DALLAS TX 75243,4,4.0,1980,3935,15080,674478,Redfin Estimate,32.9128414,-96.7135708,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=10019+Woodlake+Dr%2C+Dallas%2C+TX+75243&size=665x441&source=outdoor&client=gme-redfin&signature=0FT62FzLMAP7Lxd6SlrGcSE-7sk='],75243
31112393,10635 BLACK WALNUT DR DALLAS TX 75243,3,2.0,1978,1846,8233,582664,Redfin Estimate,32.9131314,-96.7085765,['https://ssl.cdn-redfin.com/photo/90/mbphoto/338/genMid.14486338_0.jpg'],75243
31112377,10731 BLACK WALNUT DR DALLAS TX 75243,3,2.0,1978,1846,6861,427375,Redfin Estimate,32.9155049,-96.7097263,['https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=10731+Black+Walnut+Dr%2C+Dallas%2C+TX+75243&size=665x441&source=outdoor&client=gme-redfin&signature=lTu0P7O2wOXeR3m1DPJr39RqaVU='],75243
31110300,6226 BLACK BERRY LN DALLAS TX 75248,4,3.0,1979,2636,7614,644987,Redfin Estimate,32.958633,-96.7986382,['https://ssl.cdn-redfin.com/photo/90/mbphoto/666/genMid.11369666_2.jpg'],75248
31110361,6132 YELLOW ROCK TRL DALLAS TX 75248,3,3.0,1983,2271,7527,554008,Redfin Estimate,32.9578193,-96.8005695,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=6132+Yellow+Rock+Trl%2C+Dallas%2C+TX+75248&size=665x441&source=outdoor&client=gme-redfin&signature=EfoOaYOZLyTZYp7njHG1z-cK3hs='],75248
