full_address,beds,baths,year_built,sq_ft_interior,sq_ft_lot,price,lat,long,zip_code
2326 LUAU ST MESQUITE TX 75150,3,1.5,1966,1356,8303,241183,32.7987738,-96.649097,75150
1737 HIGHLAND ST MESQUITE TX 75149,3,1.0,1955,1454,7501,218014,32.7874273,-96.6096475,75149
2900 SIDNEY DR MESQUITE TX 75150,3,2.0,1972,1392,7196,241089,32.8172466,-96.6441253,75150
1507 RICHARD ST MESQUITE TX 75149,3,1.0,1957,1313,7501,205940,32.7874128,-96.6165747,75149
806 BRANDON DR SEAGOVILLE TX 75159,5,2.0,2004,1504,8407,275611,32.6615894,-96.5470035,75159
302 S EBRITE ST MESQUITE TX 75149,3,3.0,1948,1408,13338,256886,32.76515,-96.6021579,75149
2411 MESQUITE VALLEY RD MESQUITE TX 75149,5,3.5,1984,4125,6721,464509,32.7471993,-96.5670063,75149
514 PAYTON CT SEAGOVILLE TX 75159,4,2.0,2008,1420,8708,229255,32.651993,-96.5384374,75159
2231 SCHIRRA WAY  MESQUITE TX 75150,4,2.0,1971,1864,7736,309514,32.8075458,-96.6357769,75150
4733 SALEM DR MESQUITE TX 75150,3,1.0,1958,1143,7240,196223,32.8311127,-96.6399143,75150
503 W STARK RD SEAGOVILLE TX 75159,3,1.5,1952,1988,60113,327887,32.6639412,-96.5894129,75159
3124 PECAN CROSSING  MESQUITE TX 75181,3,2.0,2002,1918,7018,280633,32.7310813,-96.5387917,75181
837 W GROSS ST MESQUITE TX 75149,1,1.0,1954,504,178160,360982,32.7643058,-96.6096371,75149
810 BRANDON DR SEAGOVILLE TX 75159,3,2.0,2004,1579,7301,284967,32.6618243,-96.5467117,75159
1600 LIBERTY LN MESQUITE TX 75149,2,2.0,1987,1495,3999,268411,32.7876918,-96.5996337,75149
4341 SOARING STAR LN MESQUITE TX 75181,3,2.0,2021,2056,6251,388566,32.722716,-96.5459196,75181
736 VIA SONOMA  MESQUITE TX 75150,3,2.0,1978,1607,8041,304669,32.8199565,-96.6069353,75150
2909 BLUETS DR MESQUITE TX 75150,3,2.5,2022,1728,1982,311178,32.80374,-96.632486,75150
1509 RIDGEVIEW ST MESQUITE TX 75149,4,2.0,1956,1296,6900,269558,32.7869245,-96.6157813,75149
2845 NIGHTHAWK DR MESQUITE TX 75181,4,3.0,2009,2500,9544,355938,32.7148629,-96.5314146,75181
111 COLONIAL CIR SEAGOVILLE TX 75159,3,1.0,1984,1108,11252,192831,32.6505944,-96.5496715,75159
2917 BLUETS DR MESQUITE TX 75150,3,2.5,2022,1767,2879,325125,32.803727,-96.632327,75150
3136 WICHITA DR MESQUITE TX 75149,3,2.0,1983,1711,8163,271434,32.78173,-96.6451676,75149
2810 QUAIL HOLLOW DR MESQUITE TX 75150,3,2.0,1984,1383,8276,268926,32.8031216,-96.6083123,75150
513 STARLING DR MESQUITE TX 75149,3,2.0,1970,1389,7802,259638,32.7741088,-96.6433314,75149
600 VIA LA PALOMA  MESQUITE TX 75150,3,2.5,1981,1712,7810,268305,32.8325029,-96.6036391,75150
4319 LIVE OAK DR MESQUITE TX 75150,4,2.5,1963,1846,7200,258965,32.8242921,-96.6386131,75150
1007 PHEASANT DR MESQUITE TX 75150,3,2.0,1983,1368,6843,250242,32.8022303,-96.6126595,75150
1630 VALLEY VIEW ST MESQUITE TX 75149,2,1.5,1955,1255,9026,213630,32.7846248,-96.6095224,75149
817 VIA AVENIDA  MESQUITE TX 75150,3,2.0,1973,1516,7318,270935,32.8277486,-96.6090509,75150
126 WALNUT DR SEAGOVILLE TX 75159,4,2.5,2001,2814,6434,348423,32.6668151,-96.5890792,75159
831 CEDAR DR MESQUITE TX 75149,2,1.0,1954,962,7314,197872,32.7608659,-96.609774,75149
1004 ARMSTRONG RD SEAGOVILLE TX 75159,3,2.0,2010,1012,11252,210824,32.6419389,-96.560553,75159
2713 JUDY DR MESQUITE TX 75149,3,1.0,1962,1586,10001,226521,32.7870223,-96.6375853,75149
3113 COLONY DR MESQUITE TX 75150,4,2.0,1983,1679,8577,330199,32.8058681,-96.6476309,75150
156 QUAIL RUN DR SEAGOVILLE TX 75159,4,2.5,2002,2418,6159,316049,32.6655782,-96.5900386,75159
3401 SHERYL DR MESQUITE TX 75150,3,1.5,1953,1384,6482,215481,32.8141337,-96.6498021,75150
2316 LOVELL DR MESQUITE TX 75150,4,3.0,1970,2190,7736,299773,32.8084172,-96.6367756,75150
4235 HARVEY DR MESQUITE TX 75150,4,2.0,1956,1289,7200,263734,32.8230624,-96.6568171,75150
1608 OXFORD PL MESQUITE TX 75149,4,2.0,1984,2053,8398,319999,32.7877518,-96.6450006,75149
2631 BEVERLY HILLS LN MESQUITE TX 75150,4,2.0,1978,2068,7671,351834,32.8367694,-96.6399507,75150
3031 KARLA DR MESQUITE TX 75150,4,1.5,1959,1068,7553,245261,32.8306781,-96.6442403,75150
1317 LANEMAR DR MESQUITE TX 75149,3,1.0,1955,1248,7200,189960,32.7819812,-96.6022205,75149
3714 SHERYL DR MESQUITE TX 75150,3,1.0,1959,1330,7200,219237,32.8132156,-96.6556114,75150
3106 DEERHOLLOW DR MESQUITE TX 75181,4,2.5,1998,2878,8050,379570,32.7394397,-96.5561927,75181
814 DAKOTA LN SEAGOVILLE TX 75159,3,2.5,2005,1796,12323,280409,32.6626772,-96.5472119,75159
1214 RANCHO DR MESQUITE TX 75149,3,2.0,1970,1294,7754,234274,32.7514106,-96.5892392,75149
3200 EDGEBROOK DR MESQUITE TX 75150,3,1.0,1960,975,10080,224349,32.8085954,-96.6384043,75150
3620 HILTON DR MESQUITE TX 75150,3,2.0,1968,1794,7440,309485,32.8153373,-96.6546798,75150
333 E GRUBB DR MESQUITE TX 75149,3,2.0,1978,1900,10202,325444,32.775291,-96.59297,75149
649 WINDSONG  MESQUITE TX 75149,4,2.0,1986,1896,4931,301833,32.7728392,-96.5782344,75149
821 LINDO DR MESQUITE TX 75149,3,1.0,1958,884,8041,191253,32.7570041,-96.5873126,75149
1606 E FARMERS RD SEAGOVILLE TX 75159,4,3.0,1976,3216,87120,509098,32.6608805,-96.5466908,75159
4704 KNOLLVIEW LN MESQUITE TX 75150,3,2.0,1984,2069,7667,306271,32.8281391,-96.6157865,75150
2113 CREEK ROYAL DR MESQUITE TX 75181,3,2.0,1993,1498,5484,272890,32.7360691,-96.543818,75181
404 BALLARD RD SEAGOVILLE TX 75159,3,2.0,1959,1244,20238,275275,32.6313909,-96.5318313,75159
318 E GRUBB DR MESQUITE TX 75149,3,2.0,1971,1573,7671,316301,32.7748739,-96.5936666,75149
801 HUDDLESTON CT SEAGOVILLE TX 75159,3,2.0,2004,1450,9026,243277,32.660176,-96.5462948,75159
407 BAKER ST SEAGOVILLE TX 75159,3,2.0,2001,1175,11979,223732,32.6330116,-96.5327899,75159
1300 DEVELON DR MESQUITE TX 75149,4,2.0,1964,1284,9845,264294,32.7492893,-96.6161157,75149
302 ROLLINGWOOD DR MESQUITE TX 75149,3,1.0,1954,1244,7200,228752,32.765037,-96.6381218,75149
2221 VALLEY FALLS AVE MESQUITE TX 75181,3,2.0,1993,2240,7200,310582,32.7348907,-96.5957918,75181
4720 STALLCUP DR MESQUITE TX 75150,3,2.0,1966,1677,7680,279312,32.8316816,-96.6384448,75150
2621 WESTVIEW DR MESQUITE TX 75150,3,2.0,1964,1264,7200,243052,32.8021957,-96.6424121,75150
1833 PALO ALTO DR MESQUITE TX 75150,3,2.5,1985,2109,4317,299933,32.8447572,-96.6322563,75150
3601 DEMARET DR MESQUITE TX 75150,3,1.0,1957,1516,9500,303002,32.8329136,-96.653059,75150
341 E GRUBB DR MESQUITE TX 75149,3,2.0,1979,1842,6761,317306,32.7753127,-96.5925559,75149
2921 WANDA WAY  SEAGOVILLE TX 75159,3,2.0,1955,1492,13351,246228,32.6723705,-96.5836983,75159
1023 S BRYAN ST MESQUITE TX 75149,3,1.0,1954,1314,10123,261484,32.7547421,-96.5980597,75149
3628 DEMARET DR MESQUITE TX 75150,2,1.0,1958,1272,7501,219499,32.8317026,-96.65356,75150
1433 JESSICA LN MESQUITE TX 75149,3,2.0,1997,1842,5171,303049,32.7501001,-96.6107325,75149
1001 SCHRADE TRL MESQUITE TX 75181,3,2.0,1990,1805,7854,323814,32.7555111,-96.5601623,75181
3002 BRIARBROOK DR SEAGOVILLE TX 75159,4,2.5,2007,2939,14301,357813,32.6926866,-96.5506303,75159
1126 CYPRESS DR MESQUITE TX 75149,3,2.0,1988,1468,7919,265701,32.7626358,-96.5836888,75149
2811 DENNIS CIR SEAGOVILLE TX 75159,4,2.5,2022,1858,16030,343582,32.6699376,-96.5806534,75159
1405 BAYLEE ST SEAGOVILLE TX 75159,5,2.0,2007,2175,7200,328204,32.6553381,-96.5480456,75159
6125 CREEKHAVEN DR MESQUITE TX 75181,4,3.0,2018,2700,11182,436841,32.699797,-96.5549661,75181
1332 VIRGIE JOE DR MESQUITE TX 75149,3,2.0,1973,1814,6120,288775,32.7502504,-96.5761491,75149
1307 ROSS LN SEAGOVILLE TX 75159,3,2.0,1985,1238,9801,228459,32.6580214,-96.5311228,75159
4537 WOODBLUFF DR MESQUITE TX 75150,4,3.0,2005,2376,7131,370705,32.8263777,-96.5995711,75150
1302 HANEY LN MESQUITE TX 75149,3,1.0,1954,660,9078,165095,32.751356,-96.6277918,75149
2027 ELM FALLS PL MESQUITE TX 75181,5,2.5,2000,3024,10642,367004,32.7357466,-96.5981318,75181
2612 SPRING RAIN DR MESQUITE TX 75181,3,2.0,1996,1444,5672,259095,32.73982,-96.5413343,75181
1300 RUSK DR MESQUITE TX 75149,3,1.0,1962,1697,7501,209464,32.7390165,-96.6165091,75149
4939 REGAL BLUFF  MESQUITE TX 75150,2,2.5,1985,1092,1616,199032,32.832906,-96.6020648,75150
4847 PALOS VERDES DR MESQUITE TX 75150,2,2.0,1984,1282,3038,242033,32.8311855,-96.6118267,75150
3320 HIGH MEADOW DR MESQUITE TX 75181,4,2.5,1996,2160,5846,339857,32.7513431,-96.5468784,75181
1023 JARDIN DR MESQUITE TX 75149,3,1.0,1955,925,7318,193958,32.7548022,-96.591451,75149
2633 GREENLAND DR MESQUITE TX 75150,5,2.0,1961,1831,7379,316252,32.8264736,-96.6363588,75150
2710 CUMBERLAND DR MESQUITE TX 75150,3,2.5,1962,1268,7802,279219,32.8006788,-96.6405012,75150
4333 SHERWOOD DR MESQUITE TX 75150,3,1.5,1956,930,9749,241953,32.8247483,-96.6548127,75150
122 IDLEWYLD DR MESQUITE TX 75149,3,2.0,2000,1893,4957,353597,32.7671306,-96.6407004,75149
1417 COOL SPRINGS DR MESQUITE TX 75181,3,2.0,1992,1266,5602,250762,32.7468403,-96.547337,75181
4402 LIVE OAK DR MESQUITE TX 75150,3,1.5,1961,1500,7318,253834,32.8248983,-96.6386912,75150
2820 MAPLE DR MESQUITE TX 75150,3,1.5,1959,1154,7741,196049,32.8285593,-96.6417024,75150
1734 HILLCREST ST MESQUITE TX 75149,3,2.0,1955,1234,7501,209648,32.7852638,-96.6073943,75149
2022 PICADILLY BLVD MESQUITE TX 75149,3,2.5,1995,1814,4744,299484,32.7572792,-96.6285947,75149
2616 LARCHMONT DR MESQUITE TX 75150,3,1.0,1964,1489,7200,239786,32.7961603,-96.6404871,75150
913 VIA BARCELONA  MESQUITE TX 75150,3,2.0,1977,1782,8259,334460,32.8233706,-96.6100022,75150
2304 GERBER DR MESQUITE TX 75181,4,2.5,1997,2571,5001,353531,32.7571492,-96.5651587,75181
3407 POINT EAST DR MESQUITE TX 75150,3,2.0,1971,1255,7340,254248,32.8096938,-96.6512655,75150
2314 TRADEWIND DR MESQUITE TX 75150,3,1.5,1961,1274,6839,232210,32.7986536,-96.6546419,75150
1817 BLACKFOOT TRL MESQUITE TX 75149,4,2.5,1992,2658,15533,429487,32.7512824,-96.5719578,75149
1515 HILLCREST ST MESQUITE TX 75149,3,1.0,1955,1265,7501,239083,32.7829268,-96.610868,75149
2747 LARCHMONT DR MESQUITE TX 75150,3,1.5,1963,1075,10559,267304,32.794277,-96.6419529,75150
4869 PRESTON TRAIL DR MESQUITE TX 75150,3,2.0,1976,1692,7671,356799,32.8372486,-96.6414933,75150
705 COOLWOOD LN MESQUITE TX 75149,3,2.0,1979,1306,7802,294444,32.7589901,-96.5769415,75149
1708 HIGHLAND ST MESQUITE TX 75149,3,1.0,1955,1136,7497,181788,32.7862948,-96.6103152,75149
1300 TULIP TRL MESQUITE TX 75149,3,2.0,1978,1377,7327,264482,32.7506761,-96.5872343,75149
3706 MOON DR MESQUITE TX 75150,3,1.5,1962,1032,7436,239004,32.8178856,-96.6550657,75150
4005 VIA PLATA  MESQUITE TX 75150,4,2.0,1977,1756,9439,283305,32.8201058,-96.6120052,75150
914 VIA SONOMA  MESQUITE TX 75150,4,2.5,1978,2192,8259,336723,32.8198791,-96.6100648,75150
3030 CLAY MATHIS RD MESQUITE TX 75181,4,3.0,2006,4008,35414,424890,32.7308205,-96.5416886,75181
442 CARVER ST MESQUITE TX 75149,2,1.0,1951,720,7000,172751,32.7626313,-96.5953783,75149
513 HOLLEY ST MESQUITE TX 75149,2,1.0,1962,973,7645,192340,32.7616787,-96.5925812,75149
1814 ROSEMONT ST MESQUITE TX 75149,2,1.0,1955,889,7501,189696,32.788796,-96.6101589,75149
